Step,AvgRew,AvgEpLen
0,0.0,0.0
1000,0.0,99.61764526367188
2000,0.0,120.66129302978516
3000,0.0,127.72826385498047
4000,0.0,136.6699981689453
5000,0.0,143.27999877929688
6000,0.0,128.38999938964844
7000,0.0,117.43000030517578
8000,0.0,109.36000061035156
9000,0.0,130.49000549316406
10000,0.0,151.05999755859375
11000,0.0,159.0800018310547
12000,0.0,152.7899932861328
13000,0.0,133.4600067138672
14000,0.0,139.77999877929688
15000,0.0,137.00999450683594
16000,0.0,138.3800048828125
17000,0.0,148.27000427246094
18000,0.0,118.61000061035156
19000,0.0,108.45999908447266
20000,0.0,106.36000061035156
21000,0.0,121.02999877929688
22000,0.0,126.13999938964844
23000,0.0,122.37999725341797
24000,0.0,118.16000366210938
25000,0.0,113.5
26000,0.0,117.94000244140625
27000,0.0,122.2699966430664
28000,0.0,131.0500030517578
29000,0.0,120.66999816894531
30000,0.0,113.91999816894531
31000,0.0,100.81999969482422
32000,0.0,105.95999908447266
33000,0.0,120.41000366210938
34000,0.0,125.30000305175781
35000,0.0,108.16999816894531
36000,0.0,106.02999877929688
37000,0.0,99.3499984741211
38000,0.0,114.37000274658203
39000,0.0,108.62999725341797
40000,0.0,116.37999725341797
41000,0.0,123.91000366210938
42000,0.0,118.47000122070312
43000,0.0,107.19000244140625
44000,0.0,98.51000213623047
45000,0.0,106.5
46000,0.0,103.88999938964844
47000,0.0,121.1500015258789
48000,0.0,115.4000015258789
49000,0.0,138.86000061035156
50000,0.0,141.41000366210938
51000,0.0,141.69000244140625
52000,0.0,139.72000122070312
53000,0.0,138.0800018310547
54000,0.0,139.52999877929688
55000,0.0,150.08999633789062
56000,0.0,155.94000244140625
57000,0.0,166.1199951171875
58000,0.0,183.11000061035156
59000,0.0,188.4600067138672
60000,0.0,194.97000122070312
61000,0.0,208.1300048828125
62000,0.0,201.63999938964844
63000,0.0,183.3300018310547
64000,0.0,181.6199951171875
65000,0.0,180.3000030517578
66000,0.0,164.63999938964844
67000,0.0,168.25999450683594
68000,0.0,181.82000732421875
69000,0.0,176.05999755859375
70000,0.0,184.36000061035156
71000,0.0,203.07000732421875
72000,0.0,207.97999572753906
73000,0.0,195.55999755859375
74000,0.0,177.9499969482422
75000,0.0,188.14999389648438
76000,0.0,182.63999938964844
77000,0.0,179.10000610351562
78000,0.0,172.75
79000,0.0,162.25
80000,0.0,181.22000122070312
81000,0.0,185.19000244140625
82000,0.0,189.57000732421875
83000,0.0,178.4600067138672
84000,0.0,163.75
85000,0.0,167.16000366210938
86000,0.0,171.72000122070312
87000,0.0,181.8699951171875
88000,0.0,174.94000244140625
89000,0.0,152.27999877929688
90000,0.0,147.4199981689453
91000,0.0,137.2100067138672
92000,0.0,149.3800048828125
93000,0.0,143.5399932861328
94000,0.0,139.55999755859375
95000,0.0,141.1699981689453
96000,0.0,147.22000122070312
97000,0.0,159.55999755859375
98000,0.0,142.5399932861328
99000,0.0,143.66000366210938
100000,0.0,167.10000610351562
101000,0.0,165.77999877929688
102000,0.0,168.83999633789062
103000,0.0,189.0
104000,0.0,163.86000061035156
105000,0.0,162.2899932861328
106000,0.0,171.02000427246094
107000,0.0,136.5399932861328
108000,0.0,131.52999877929688
109000,0.0,126.33999633789062
110000,0.0,138.9499969482422
111000,0.0,155.35000610351562
112000,0.0,156.3800048828125
113000,0.0,162.7899932861328
114000,0.0,143.08999633789062
115000,0.0,151.55999755859375
116000,0.0,154.9199981689453
117000,0.0,154.32000732421875
118000,0.0,174.64999389648438
119000,0.0,182.57000732421875
120000,0.0,192.13999938964844
121000,0.0,172.16000366210938
122000,0.0,158.41000366210938
123000,0.0,158.32000732421875
124000,0.0,154.77999877929688
125000,0.0,158.13999938964844
126000,0.0,147.25
127000,0.0,157.08999633789062
128000,0.0,151.41000366210938
129000,0.0,168.3800048828125
130000,0.0,175.36000061035156
131000,0.0,191.35000610351562
132000,0.0,180.17999267578125
133000,0.0,161.5800018310547
134000,0.0,165.16000366210938
135000,0.0,168.88999938964844
136000,0.0,174.82000732421875
137000,0.0,184.10000610351562
138000,0.0,190.77000427246094
139000,0.0,179.85000610351562
140000,0.0,183.61000061035156
141000,0.0,182.47999572753906
142000,0.0,182.0399932861328
143000,0.0,174.27000427246094
144000,0.0,154.8699951171875
145000,0.0,156.14999389648438
146000,0.0,169.41000366210938
147000,0.0,176.3699951171875
148000,0.0,182.67999267578125
149000,0.0,194.3300018310547
150000,0.0,211.5500030517578
151000,0.0,208.72999572753906
152000,0.0,213.5399932861328
153000,0.0,224.9600067138672
154000,0.0,230.89999389648438
155000,0.0,240.86000061035156
156000,0.0,254.2100067138672
157000,0.0,271.0199890136719
158000,0.0,279.25
159000,0.0,320.3999938964844
160000,0.0,334.1199951171875
161000,0.0,350.80999755859375
162000,0.0,363.04998779296875
163000,0.0,416.0299987792969
164000,0.0,416.0299987792969
165000,0.0,416.8999938964844
166000,0.0,420.2099914550781
167000,0.0,387.69000244140625
168000,0.0,344.19000244140625
169000,0.0,345.20001220703125
170000,0.0,282.42999267578125
171000,0.0,313.6700134277344
172000,0.0,322.3299865722656
173000,0.0,305.5899963378906
174000,0.0,303.6099853515625
175000,0.0,315.6700134277344
176000,0.0,316.0799865722656
177000,0.0,306.8500061035156
178000,0.0,291.6400146484375
179000,0.0,286.1700134277344
180000,0.0,270.5199890136719
181000,0.0,278.0299987792969
182000,0.0,271.1300048828125
183000,0.0,268.489990234375
184000,0.0,271.1499938964844
185000,0.0,249.82000732421875
186000,0.0,265.2799987792969
187000,0.0,257.4599914550781
188000,0.0,265.25
189000,0.0,244.36000061035156
190000,0.0,249.72999572753906
191000,0.0,250.57000732421875
192000,0.0,244.66000366210938
193000,0.0,248.4199981689453
194000,0.0,269.2099914550781
